127.0.0.1 - - [09/Sep/2021:13:18:00 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:18:00 +0900] "GET /html/exam03.html HTTP/1.1" 200 1304
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:18:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:24:12 +0900] "GET /html/exam09.html HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:25:14 +0900] "GET /html/exam09.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:25:17 +0900] "GET /html/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:25:41 +0900] "GET /html/exam09.html HTTP/1.1" 200 307
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:26:03 +0900] "GET /html/exam09.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:38:43 +0900] "GET /html/exam09.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:38:50 +0900] "GET /html/exam09.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:39:39 +0900] "GET /html/exam09.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:42:50 +0900] "GET /html/exam09.html HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:43:53 +0900] "GET /html/exam09.html HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:53:36 +0900] "GET /html/exam10.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:57:12 +0900] "GET /html/exam10.html HTTP/1.1" 200 771
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:57:32 +0900] "GET /html/exam10.html HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [09/Sep/2021:13:58:19 +0900] "GET /html/exam10.html HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [09/Sep/2021:14:01:20 +0900] "GET /html/exam10.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [09/Sep/2021:14:07:00 +0900] "GET /html/exam11.html HTTP/1.1" 200 399
0:0:0:0:0:0:0:1 - - [09/Sep/2021:14:37:07 +0900] "GET /html/exam10.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2021:14:37:14 +0900] "GET /html/exam11.html HTTP/1.1" 200 1556
0:0:0:0:0:0:0:1 - - [09/Sep/2021:15:04:32 +0900] "GET /html/exam12.html HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [09/Sep/2021:15:07:45 +0900] "GET /html/exam12.html HTTP/1.1" 200 1252
0:0:0:0:0:0:0:1 - - [09/Sep/2021:15:08:31 +0900] "GET /html/exam12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2021:15:08:32 +0900] "GET /html/exam12.html HTTP/1.1" 304 -
